Block No	Threads	Block Size	Seq. Time	iBTM Time
21631391	14	110	5.279426ms	2.497685ms
21631395	14	162	6.475625ms	2.778727ms
21631399	14	157	6.24896ms	3.514554ms
21631403	14	226	10.465345ms	5.305785ms
21631405	14	141	5.210027ms	2.748805ms
21631421	14	148	7.275105ms	3.401225ms
21631449	14	204	8.012885ms	3.103851ms
21631466	14	172	7.827399ms	3.589573ms
21631489	14	190	8.75593ms	5.509624ms
21631499	14	148	8.486208ms	3.862019ms
21631525	14	239	11.505102ms	5.557421ms
21631533	14	178	6.831096ms	5.005133ms
21631557	14	302	13.866811ms	5.983022ms
21631611	14	160	6.710114ms	8.377005ms
21631640	14	133	6.324777ms	4.778289ms
21631654	14	217	7.524262ms	3.251604ms
21631655	14	158	5.993275ms	2.931213ms
21631662	14	254	5.150799ms	3.170532ms
21631673	14	175	5.853703ms	2.940765ms
21631707	14	188	7.625568ms	4.575848ms
21631778	14	212	7.713619ms	4.364837ms
21631794	14	320	9.022391ms	3.514439ms
21631795	14	188	7.000097ms	4.019073ms
21631798	14	221	7.694975ms	3.321834ms
21631857	14	308	9.773462ms	6.216459ms
21631902	14	116	5.300023ms	3.017754ms
21631908	14	205	9.810521ms	3.687329ms
21631918	14	108	3.961537ms	1.780942ms
21631922	14	158	10.062785ms	5.106222ms
21631924	14	163	7.6415ms	3.893142ms
21631925	14	148	6.077936ms	2.891311ms
21631937	14	154	7.022868ms	4.030858ms
21631938	14	289	11.050654ms	4.447225ms
21631940	14	156	6.504455ms	2.79069ms
21631971	14	134	4.190201ms	2.048781ms
21631983	14	101	6.177786ms	4.915076ms
21631986	14	191	7.278878ms	2.73102ms
21632006	14	280	15.016385ms	6.828019ms
21632017	14	55	2.657628ms	3.295902ms
21632033	14	178	9.853029ms	6.502316ms
21632051	14	139	5.846365ms	3.350559ms
21632053	14	107	9.71082ms	6.532975ms
21632055	14	65	1.633755ms	1.599068ms
21632080	14	173	6.057736ms	6.202177ms
21632090	14	166	7.65705ms	2.767459ms
21632179	14	227	12.203762ms	4.211689ms
21632191	14	63	4.073966ms	3.810489ms
21632210	14	208	13.605482ms	6.002838ms
21632220	14	173	9.332315ms	6.433049ms
21632248	14	202	6.424267ms	4.686157ms
21632264	14	148	3.990808ms	2.847312ms
21632277	14	97	1.795717ms	1.350949ms
21632280	14	227	14.051931ms	8.128163ms
21632289	14	228	8.791263ms	4.157113ms
21632301	14	146	6.010482ms	2.254803ms
21632302	14	161	7.33106ms	3.246339ms
21632321	14	191	8.790634ms	4.394743ms
21632323	14	234	11.118406ms	5.675592ms
21632374	14	114	4.623049ms	2.9876ms
21632388	14	215	6.914969ms	3.331182ms
21632427	14	298	11.247364ms	4.258454ms
21632465	14	183	8.553409ms	3.796209ms
21632495	14	244	9.979205ms	4.536783ms
21632496	14	179	6.177429ms	2.545775ms
21632524	14	166	8.87936ms	8.287309ms
21632539	14	202	9.890884ms	13.69638ms
21632612	14	131	7.498452ms	3.821485ms
21632615	14	192	8.669294ms	3.190132ms
21632635	14	333	14.446708ms	4.721373ms
21632663	14	181	9.673917ms	7.161592ms
21632673	14	200	9.035075ms	3.391676ms
21632677	14	167	6.21189ms	2.296229ms
21632679	14	167	6.726784ms	2.590375ms
21632693	14	188	9.205794ms	3.980034ms
21632751	14	225	8.81874ms	7.763512ms
21632761	14	53	1.579843ms	1.509266ms
21632835	14	181	7.038056ms	2.76539ms
21632879	14	137	14.703799ms	9.010079ms
21632889	14	230	10.03993ms	3.446502ms
21632907	14	134	6.727056ms	3.003159ms
21632935	14	168	10.888957ms	4.70688ms
21632952	14	129	4.621114ms	2.018481ms
