Block No	Threads	Block Size	Williams Time
18000647	16	169	1.137000ms
18000648	16	106	0.772000ms
18000649	16	95	0.791000ms
18000650	16	144	0.633000ms
18000651	16	139	0.332000ms
18000652	16	131	0.281000ms
18000653	16	125	0.653000ms
18000654	16	143	0.374000ms
18000655	16	145	0.692000ms
18000656	16	122	1.220000ms
18000657	16	188	0.437000ms
18000658	16	138	1.176000ms
18000659	16	115	0.261000ms
18000660	16	119	0.636000ms
18000661	16	146	0.994000ms
18000662	16	97	0.484000ms
18000663	16	156	0.786000ms
18000664	16	118	0.650000ms
18000665	16	158	0.696000ms
18000666	16	129	0.325000ms
18000667	16	146	0.352000ms
18000668	16	119	0.916000ms
18000669	16	131	0.330000ms
18000670	16	150	0.727000ms
18000671	16	153	1.239000ms
18000672	16	183	0.494000ms
18000673	16	140	0.784000ms
18000674	16	126	0.379000ms
18000675	16	128	0.607000ms
18000676	16	145	0.875000ms
18000677	16	105	0.328000ms
18000678	16	158	1.182000ms
18000679	16	129	0.582000ms
18000680	16	150	0.821000ms
18000681	16	160	0.579000ms
18000682	16	141	0.572000ms
18000683	16	148	0.789000ms
18000684	16	134	0.623000ms
18000685	16	105	1.150000ms
18000686	16	142	0.539000ms
18000687	16	125	0.719000ms
18000688	16	131	0.559000ms
18000689	16	135	1.023000ms
18000690	16	119	0.801000ms
18000691	16	155	0.799000ms
18000692	16	125	0.797000ms
18000693	16	162	0.794000ms
18000694	16	60	0.508000ms
18000695	16	247	0.740000ms
18000696	16	186	0.707000ms
18000697	16	115	1.309000ms
18000698	16	124	0.557000ms
18000699	16	101	0.717000ms
18000700	16	129	0.958000ms
18000701	16	131	0.574000ms
18000702	16	153	0.723000ms
18000703	16	216	0.608000ms
18000704	16	122	0.759000ms
18000705	16	82	0.661000ms
18000706	16	190	0.706000ms
18000707	16	187	0.815000ms
18000708	16	137	0.592000ms
18000709	16	120	0.558000ms
18000710	16	148	0.815000ms
18000711	16	187	1.167000ms
18000712	16	175	1.042000ms
18000713	16	108	0.544000ms
18000714	16	105	0.694000ms
18000715	16	128	0.704000ms
18000716	16	253	0.374000ms
18000717	16	119	0.592000ms
18000718	16	121	0.550000ms
18000719	16	117	0.733000ms
18000720	16	144	0.826000ms
18000721	16	235	0.614000ms
18000722	16	130	0.549000ms
18000723	16	124	1.014000ms
18000724	16	125	1.176000ms
18000725	16	128	0.760000ms
18000726	16	122	0.588000ms
18000727	16	104	0.706000ms
18000728	16	122	0.899000ms
18000729	16	91	0.662000ms
18000730	16	135	0.648000ms
18000731	16	162	0.678000ms
18000732	16	120	1.040000ms
18000733	16	97	0.591000ms
18000734	16	133	0.563000ms
18000735	16	130	0.730000ms
18000736	16	138	1.135000ms
18000737	16	108	0.630000ms
18000738	16	127	0.706000ms
18000739	16	118	0.637000ms
18000740	16	96	0.676000ms
18000741	16	151	0.623000ms
18000742	16	96	0.662000ms
18000743	16	129	1.020000ms
18000744	16	97	0.672000ms
18000745	16	143	0.737000ms
18000746	16	121	0.634000ms
18000747	16	141	1.191000ms
18000748	16	115	0.332000ms
18000749	16	142	0.366000ms
18000750	16	123	0.711000ms
18000751	16	106	1.135000ms
18000752	16	132	0.571000ms
18000753	16	92	0.588000ms
18000754	16	150	0.681000ms
18000755	16	143	0.682000ms
18000756	16	112	0.715000ms
18000757	16	86	0.492000ms
18000758	16	142	0.659000ms
18000759	16	107	0.759000ms
18000760	16	108	0.763000ms
18000761	16	126	1.259000ms
18000762	16	115	0.535000ms
18000763	16	149	0.600000ms
18000764	16	118	0.653000ms
18000765	16	98	0.678000ms
18000766	16	144	0.494000ms
18000767	16	140	0.633000ms
18000768	16	195	0.759000ms
18000769	16	167	0.613000ms
18000770	16	121	0.798000ms
18000771	16	150	1.106000ms
18000772	16	138	0.628000ms
18000773	16	100	0.736000ms
18000774	16	104	0.473000ms
18000775	16	143	0.715000ms
18000776	16	146	0.521000ms
18000777	16	133	1.231000ms
18000778	16	122	0.944000ms
18000779	16	113	0.589000ms
18000780	16	113	0.761000ms
18000781	16	140	1.011000ms
18000782	16	107	0.647000ms
18000783	16	130	0.735000ms
18000784	16	117	0.532000ms
18000785	16	106	0.673000ms
18000786	16	95	0.305000ms
18000787	16	167	0.583000ms
18000788	16	107	0.668000ms
18000789	16	91	0.552000ms
18000790	16	131	1.125000ms
18000791	16	415	0.813000ms
18000792	16	152	1.162000ms
18000793	16	157	0.646000ms
18000794	16	116	0.330000ms
18000795	16	161	0.738000ms
18000796	16	108	0.616000ms
18000797	16	122	0.769000ms
18000798	16	125	0.741000ms
18000799	16	109	0.313000ms
18000800	16	156	0.759000ms
18000801	16	111	1.089000ms
18000802	16	149	1.243000ms
18000803	16	118	0.579000ms
18000804	16	125	0.384000ms
18000805	16	148	0.634000ms
18000806	16	130	0.653000ms
18000807	16	176	0.369000ms
18000808	16	141	0.820000ms
18000809	16	107	0.650000ms
18000810	16	120	0.578000ms
18000811	16	140	0.964000ms
